ProductKey,ProductName,ProductDescription,ProductSubcategoryKey,Manufacturer,BrandName,ClassID,ClassName,StyleID,StyleName,ColorID,ColorName,Weight,WeightUnitMeasureID,UnitOfMeasureID,UnitOfMeasureName,StockTypeID,StockTypeName,UnitCost,UnitPrice,AvailableForSaleDate,Status
1,Contoso 512MB MP3 Player E51 Silver,512MB USB driver plays MP3 and WMA,1,"Contoso, Ltd",Contoso,1,Economy,1,Product0101001,7,Silver,4.8,ounces,1,inches,1,High,6.62,12.99,2005-05-03,On
2,Contoso 512MB MP3 Player E51 Blue,512MB USB driver plays MP3 and WMA,1,"Contoso, Ltd",Contoso,1,Economy,5,Product0101002,3,Blue,4.1,ounces,1,inches,1,High,6.62,12.99,2005-05-03,On
3,Contoso 1G MP3 Player E100 White,1GB flash memory and USB driver plays MP3 and WMA,1,"Contoso, Ltd",Contoso,1,Economy,1,Product0101003,8,White,4.5,ounces,1,inches,2,Mid,7.4,14.52,2006-05-13,On
4,Contoso 2G MP3 Player E200 Silver,"2GB flash memory, LCD display, plays MP3 and WMA",1,"Contoso, Ltd",Contoso,1,Economy,1,Product0101004,7,Silver,4.5,ounces,1,inches,2,Mid,11.0,21.57,2006-12-16,On
5,Contoso 2G MP3 Player E200 Red,"2GB flash memory, LCD display, plays MP3 and WMA",1,"Contoso, Ltd",Contoso,1,Economy,1,Product0101005,6,Red,2.4,ounces,1,inches,2,Mid,11.0,21.57,2006-12-17,On
6,Contoso 2G MP3 Player E200 Black,"2GB flash memory, LCD display, plays MP3 and WMA",1,"Contoso, Ltd",Contoso,1,Economy,2,Product0101006,2,Black,8.8,ounces,1,inches,2,Mid,11.0,21.57,2006-12-18,On
7,Contoso 2G MP3 Player E200 Blue,"2GB flash memory, LCD display, plays MP3 and WMA",1,"Contoso, Ltd",Contoso,1,Economy,1,Product0101007,3,Blue,2.1,ounces,1,inches,2,Mid,11.0,21.57,2006-12-19,On
8,Contoso 4G MP3 Player E400 Silver,"4GB flash memory and FM Radio, LCD Display with 7-Color Backlight, plays MP3 and WMA",1,"Contoso, Ltd",Contoso,1,Economy,2,Product0101008,7,Silver,5.6,ounces,1,inches,2,Mid,30.58,59.99,2007-04-16,On
9,Contoso 4G MP3 Player E400 Black,"4GB flash memory and FM Radio, LCD Display with 7-Color Backlight, plays MP3 and WMA",1,"Contoso, Ltd",Contoso,1,Economy,1,Product0101009,2,Black,2.1,ounces,1,inches,2,Mid,30.58,59.99,2007-04-16,On
10,Contoso 4G MP3 Player E400 Green,"4GB flash memory and FM Radio, LCD Display with 7-Color Backlight, plays MP3 and WMA",1,"Contoso, Ltd",Contoso,1,Economy,1,Product0101010,14,Green,11.0,ounces,1,inches,2,Mid,30.58,59.99,2007-04-16,On
